START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
01/25/2016,7:00 PM,7:00 PM,Boston at Philadelphia,Wells Fargo Center - Philadelphia - PA,TVAS /  NESN /  CSN-PH,01/25/2016,01/25/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/25/2016,6:00 PM,6:00 PM,FREE,BUSY
01/26/2016,7:00 PM,7:00 PM,Anaheim at Boston,TD Garden - Boston - MA,TVAS /  FS-W /  NESN,01/26/2016,01/26/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/26/2016,6:00 PM,6:00 PM,FREE,BUSY
02/02/2016,7:00 PM,7:00 PM,Toronto at Boston,TD Garden - Boston - MA,TVAS /  TSN4 /  NESN,02/02/2016,02/02/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/02/2016,6:00 PM,6:00 PM,FREE,BUSY
02/04/2016,7:00 PM,7:00 PM,Boston at Buffalo,First Niagara Center - Buffalo - NY,NESN /  MSG-B / BELL TV,02/04/2016,02/04/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/04/2016,6:00 PM,6:00 PM,FREE,BUSY
02/06/2016,7:00 PM,7:00 PM,Buffalo at Boston,TD Garden - Boston - MA,MSG-B / BELL TV /  NESN,02/06/2016,02/06/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/06/2016,6:00 PM,6:00 PM,FREE,BUSY
02/09/2016,7:00 PM,7:00 PM,Los Angeles at Boston,TD Garden - Boston - MA,TVAS /  FS-W /  NESN,02/09/2016,02/09/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/09/2016,6:00 PM,6:00 PM,FREE,BUSY
02/11/2016,7:00 PM,8:00 PM,Boston at Winnipeg,MTS Centre - Winnipeg - MB,NESN /  TSN3,02/11/2016,02/11/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/11/2016,6:00 PM,7:00 PM,FREE,BUSY
02/13/2016,1:00 PM,2:00 PM,Boston at Minnesota,Xcel Energy Center - St. Paul - MN,NESN /  FS-N / FS-WI,02/13/2016,02/13/2016,4:00 PM,5:00 PM,FALSE,TRUE,02/13/2016,12:00 PM,1:00 PM,FREE,BUSY
02/14/2016,3:00 PM,3:00 PM,Boston at Detroit,Joe Louis Arena - Detroit - MI,NBC / TVAS,02/14/2016,02/14/2016,6:00 PM,6:00 PM,FALSE,TRUE,02/14/2016,2:00 PM,2:00 PM,FREE,BUSY
02/16/2016,7:00 PM,7:00 PM,Boston at Columbus,Nationwide Arena - Columbus - OH,NESN /  FS-O,02/16/2016,02/16/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/16/2016,6:00 PM,6:00 PM,FREE,BUSY
02/18/2016,7:00 PM,8:00 PM,Boston at Nashville,Bridgestone Arena - Nashville - TN,NESN /  FS-TN,02/18/2016,02/18/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/18/2016,6:00 PM,7:00 PM,FREE,BUSY
02/20/2016,7:00 PM,8:00 PM,Boston at Dallas,American Airlines Center - Dallas - TX,NESN /  FS-SW,02/20/2016,02/20/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/20/2016,6:00 PM,7:00 PM,FREE,BUSY
02/22/2016,7:00 PM,7:00 PM,Columbus at Boston,TD Garden - Boston - MA,TVAS /  FS-O /  NESN,02/22/2016,02/22/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/22/2016,6:00 PM,6:00 PM,FREE,BUSY
02/24/2016,7:30 PM,7:30 PM,Pittsburgh at Boston,TD Garden - Boston - MA,NBCSN / TVAS,02/24/2016,02/24/2016,10:30 PM,10:30 PM,FALSE,TRUE,02/24/2016,6:30 PM,6:30 PM,FREE,BUSY
02/26/2016,7:00 PM,7:00 PM,Boston at Carolina,PNC Arena - Raleigh - NC,NESN /  FS-CR,02/26/2016,02/26/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/26/2016,6:00 PM,6:00 PM,FREE,BUSY
02/28/2016,6:30 PM,6:30 PM,Tampa Bay at Boston,TD Garden - Boston - MA,NBCSN / TVAS,02/28/2016,02/28/2016,9:30 PM,9:30 PM,FALSE,TRUE,02/28/2016,5:30 PM,5:30 PM,FREE,BUSY
03/01/2016,7:00 PM,7:00 PM,Calgary at Boston,TD Garden - Boston - MA,TVAS /  SNW /  NESN,03/01/2016,03/01/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/01/2016,6:00 PM,6:00 PM,FREE,BUSY
03/03/2016,7:00 PM,7:00 PM,Chicago at Boston,TD Garden - Boston - MA,TVAS /  CSN-CH /  NESN,03/03/2016,03/03/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/03/2016,6:00 PM,6:00 PM,FREE,BUSY
03/05/2016,7:00 PM,7:00 PM,Washington at Boston,TD Garden - Boston - MA,CSN-DC /  NESN,03/05/2016,03/05/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/05/2016,6:00 PM,6:00 PM,FREE,BUSY
03/07/2016,7:30 PM,7:30 PM,Boston at Florida,BB&T Center - Sunrise - FL,NESN /  FS-F,03/07/2016,03/07/2016,10:30 PM,10:30 PM,FALSE,TRUE,03/07/2016,6:30 PM,6:30 PM,FREE,BUSY
03/08/2016,7:30 PM,7:30 PM,Boston at Tampa Bay,Amalie Arena - Tampa - FL,TVAS /  NESN /  SUN,03/08/2016,03/08/2016,10:30 PM,10:30 PM,FALSE,TRUE,03/08/2016,6:30 PM,6:30 PM,FREE,BUSY
03/10/2016,7:00 PM,7:00 PM,Carolina at Boston,TD Garden - Boston - MA,FS-CR /  NESN,03/10/2016,03/10/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/10/2016,6:00 PM,6:00 PM,FREE,BUSY
